name,other_name,votes,percentage,delegates
Trump,"Donald John, Sr.",123523,57.86,28
Kasich,John Richard,60522,28.35,0
Cruz,"Rafael Edward ""Ted""",24987,11.7,0
Uncommitted,,2728,1.28,0
Carson,"Benjamin Solomon ""Ben"", Sr.",1733,0.81,0
Total,,213493,100.0,28
Total,,213493,100.0,28
Total,,213493,100.0,28
