name,other_name,votes,percentage,delegates
Sanders,"Bernard ""Bernie""",2231,64.29,17
Clinton,Hillary Diane Rodham,1232,35.5,8
Uncommitted,,7,0.2,5
(scattering),Other,0,0.0,0
Total,,3470,100.0,30
Total,,3470,100.0,30
Total,,3470,100.0,30
Total,,3470,100.0,30
Total,,3470,100.0,30
