name,other_name,votes,percentage,delegates
Sanders,"Bernard ""Bernie""",62991,77.19,27
Clinton,Hillary Diane Rodham,16162,19.8,6
(scattering),Spoiled ballots,2085,2.55,0
Uncommitted,,334,0.41,4
Guerra,"Roque ""Rocky"" De La Fuente",22,0.03,0
Greenstein,Mark Stewart,12,0.01,0
Total,,81606,100.0,37
Total,,81606,100.0,37
Total,,81606,100.0,37
Total,,81606,100.0,37
Total,,81606,100.0,37
