name,other_name,votes,percentage,delegates
Huckabee,"Michael Dale ""Mike""",190904,34.47,0
McCain,"John Sidney, III",176091,31.8,0
Romney,Mitt,130632,23.59,0
Paul,"Ronald Ernest ""Ron""",31026,5.6,0
Thompson,Fred Dalton,16263,2.94,0
Giuliani,Rudolph William,5159,0.93,0
Uncommitted,,1830,0.33,0
Keyes,Alan L.,978,0.18,0
Hunter,Duncan,738,0.13,0
Tancredo,"Thomas Gerald ""Tom""",194,0.04,0
(available),,,,55
