name,other_name,votes,percentage,delegates
Obama,Barack Hussein,80113,66.53,36
Clinton,Hillary Rodham,38839,32.26,19
Uncommitted,,1260,1.05,15
Edwards,John Reid,102,0.08,0
Kucinich,Dennis J.,58,0.05,0
Gravel,Mike,18,0.01,0
Richardson,"William B. ""Bill"", III",17,0.01,0
Biden,"Joseph Robinette ""Joe"", Jr.",4,0.0,0
Dodd,"Christopher J. ""Chris""",0,0.0,0
