name,other_name,votes,percentage,delegates
Clinton,Hillary Rodham,73105,48.94,14
Obama,Barack Hussein,71396,47.8,12
Edwards,John Reid,2157,1.44,0
Richardson,"William B. ""Bill"", III",1305,0.87,0
Kucinich,Dennis J.,574,0.38,0
Uncommitted,,441,0.3,12
Write-In,,198,0.13,0
Biden,"Joseph Robinette ""Joe"", Jr.",122,0.08,0
Dodd,"Christopher J. ""Chris""",81,0.05,0
(not voting),,,,0
