name,other_name,votes,percentage,delegates
Bush,George W.,284053,58,32
McCain,John,191101,39,5
Keyes,Alan,11753,2,0
Forbes,Steve,1749,0,0
Bauer,Gary,1469,0,0
Hatch,Orrin,1023,0,0
