name,other_name,votes,percentage,delegates
Clinton,Hillary Diane Rodham,162,68.35,4
Sanders,"Bernard ""Bernie""",61,25.74,2
Guerra,"Roque ""Rocky"" De La Fuente",14,5.91,0
Total,,237,100.0,11
Total,,237,100.0,11
Total,,237,100.0,11
Uncommitted,,-99,,5
Uncommitted,,-99,,5
