name,other_name,votes,percentage,delegates
Sanders,"Bernard ""Bernie""",4122,56.74,7
Clinton,Hillary Diane Rodham,3131,43.1,7
Guerra,"Roque ""Rocky"" De La Fuente",11,0.15,0
Uncommitted,,1,0.01,4
Total,,7265,100.0,18
Total,,7265,100.0,18
Total,,7265,100.0,18
Total,,7265,100.0,18
Total,,7265,100.0,18
