name,other_name,votes,percentage,delegates
Rubio,Marco A.,41397,36.24,17
Cruz,"Rafael Edward ""Ted""",33181,29.04,13
Trump,"Donald John, Sr.",24473,21.42,8
Carson,"Benjamin Solomon ""Ben"", Sr.",8422,7.37,0
Kasich,John Richard,6565,5.75,0
(scattering),Write-in,207,0.18,0
Total,,114245,100.0,38
Total,,114245,100.0,38
Total,,114245,100.0,38
Total,,114245,100.0,38
Total,,114245,100.0,38
