name,other_name,votes,percentage,delegates
Clinton,Hillary Diane Rodham,566247,63.32,79
Sanders,"Bernard ""Bernie""",328058,36.68,47
Total,,894305,100.0,142
Total,,894305,100.0,142
Total,,894305,100.0,142
abstention,,-99,,0
Uncommitted,,-99,,16
Uncommitted,,-99,,16
