name,other_name,votes,percentage,delegates
Clinton,Hillary Diane Rodham,1101414,64.44,141
Sanders,"Bernard ""Bernie""",568839,33.28,73
O'Malley,Martin Joseph,38930,2.28,0
Total,,1709183,100.0,246
Total,,1709183,100.0,246
Total,,1709183,100.0,246
abstention,,-99,,0
Uncommitted,,-99,,32
Uncommitted,,-99,,32
