name,other_name,votes,percentage,delegates
Clinton,Hillary Diane Rodham,1133980,57.54,139
Sanders,"Bernard ""Bernie""",820256,41.62,108
(scattering),Void,11306,0.57,0
(scattering),Blank Votes,5358,0.27,0
Total,,1970900,100.0,291
Total,,1970900,100.0,291
Total,,1970900,100.0,291
abstention,,-99,,0
Uncommitted,,-99,,44
Uncommitted,,-99,,44
