name,other_name,votes,percentage,delegates
Clinton,Hillary Rodham,870986,49.77,105
Obama,Barack Hussein,576214,32.93,67
Edwards,John Reid,251562,14.38,13
Biden,"Joseph Robinette ""Joe"", Jr.",15704,0.9,0
Richardson,"William B. ""Bill"", III",14999,0.86,0
Kucinich,Dennis J.,9703,0.55,0
Dodd,"Christopher J. ""Chris""",5477,0.31,0
Gravel,Mike,5275,0.3,0
Uncommitted,,,,26
(available),,,,0
(not voting),,,,0
