name,other_name,votes,percentage,delegates
McCain,"John Sidney, III",244829,50.04,63
Huckabee,"Michael Dale ""Mike""",199003,40.67,0
Paul,"Ronald Ernest ""Ron""",21999,4.5,0
Romney,Mitt,18002,3.68,0
Thompson,Fred Dalton,3395,0.69,0
Giuliani,Rudolph William,2024,0.41,0
