name,other_name,votes,percentage,delegates
McCain,"John Sidney, III",22628,45.04,18
Romney,Mitt,16344,32.53,0
Huckabee,"Michael Dale ""Mike""",7706,15.34,0
Paul,"Ronald Ernest ""Ron""",2131,4.24,0
Giuliani,Rudolph William,1255,2.5,0
Tancredo,"Thomas Gerald ""Tom""",175,0.35,0
